  50.0 7.978E-01 270.6 1.027E+00 1.2E-05 4.0E-06 
  45.0 1.491E+00 264.2 1.996E+00 3.2E-05 1.7E-05 
  40.0 2.871E+00 250.4 3.996E+00 6.7E-05 4.9E-05 
  35.0 5.746E+00 236.5 8.463E+00 1.6E-04 1.1E-04 
  30.0 1.197E+01 226.5 1.841E+01 3.8E-04 2.0E-04 
  25.0 2.549E+01 221.6 4.008E+01 6.6E-04 3.4E-04 
  24.0 2.972E+01 220.6 4.694E+01 6.1E-04 3.6E-04 
  23.0 3.467E+01 219.6 5.500E+01 5.7E-04 3.8E-04 
  22.0 4.047E+01 218.6 6.451E+01 5.2E-04 3.9E-04 
  21.0 4.729E+01 217.6 7.572E+01 4.8E-04 3.8E-04 
  20.0 5.529E+01 216.6 8.891E+01 4.4E-04 3.8E-04 
  19.0 6.467E+01 216.6 1.040E+02 4.4E-04 3.5E-04 
  18.0 7.565E+01 216.6 1.216E+02 4.4E-04 3.2E-04 
  17.0 8.850E+01 216.6 1.423E+02 5.2E-04 2.8E-04 
  16.0 1.035E+02 216.6 1.665E+02 6.1E-04 2.3E-04 
  15.0 1.211E+02 216.6 1.948E+02 7.2E-04 2.1E-04 
  14.0 1.417E+02 216.6 2.279E+02 8.4E-04 1.9E-04 
  13.0 1.658E+02 216.6 2.666E+02 1.8E-03 1.7E-04 
  12.0 1.940E+02 216.6 3.119E+02 3.7E-03 1.6E-04 
  11.0 2.270E+02 216.8 3.648E+02 8.2E-03 1.3E-04 
  10.0 2.650E+02 223.2 4.135E+02 1.8E-02 9.0E-05 
   9.0 3.080E+02 229.7 4.671E+02 4.6E-02 7.1E-05 
   8.0 3.565E+02 236.2 5.258E+02 1.2E-01 5.2E-05 
   7.0 4.111E+02 242.7 5.900E+02 2.1E-01 4.8E-05 
   6.0 4.722E+02 249.2 6.601E+02 3.8E-01 4.5E-05 
   5.0 5.405E+02 255.7 7.364E+02 6.4E-01 4.5E-05 
   4.0 6.166E+02 262.2 8.193E+02 1.1E+00 4.6E-05 
   3.0 7.012E+02 268.7 9.093E+02 1.8E+00 5.0E-05 
   2.0 7.950E+02 275.1 1.007E+03 2.9E+00 5.4E-05 
   1.0 8.986E+02 281.6 1.111E+03 4.2E+00 5.4E-05 
   0.0 1.013E+03 288.1 1.225E+03 5.9E+00 5.4E-05 
