timestamp,longitude,latitude,minimum_bounding_longitude,maximum_bounding_longitude,minimum_bounding_latitude,maximum_bounding_latitude,worldview_url,snapshot_url,image_filename,image_path
2007-01-01T01:14:04Z,-32.235256,-77.336975,-32.335256,-32.135256,-77.43697499999999,-77.236975,"https://worldview.earthdata.nasa.gov/?v=-32.335256,-77.43697499999999,-32.135256,-77.236975&t=2007-01-01T01%3A14%3A04Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:04Z&BBOX=-77.43697499999999,-32.335256,-77.236975,-32.135256&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 1 - (-77.336975, -32.235256, 2007-01-01T01-14-04Z).png","Images2\Anomaly 1 - (-77.336975, -32.235256, 2007-01-01T01-14-04Z).png"
2007-01-01T01:14:32Z,-37.80081,-78.55385600000002,-37.90081,-37.70081,-78.65385600000002,-78.45385600000003,"https://worldview.earthdata.nasa.gov/?v=-37.90081,-78.65385600000002,-37.70081,-78.45385600000003&t=2007-01-01T01%3A14%3A32Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:32Z&BBOX=-78.65385600000002,-37.90081,-78.45385600000003,-37.70081&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 2 - (-78.553856, -37.800810, 2007-01-01T01-14-32Z).png","Images2\Anomaly 2 - (-78.553856, -37.800810, 2007-01-01T01-14-32Z).png"
2007-01-01T01:14:32Z,-37.899673,-78.5726,-37.999673,-37.799673,-78.67259999999999,-78.4726,"https://worldview.earthdata.nasa.gov/?v=-37.999673,-78.67259999999999,-37.799673,-78.4726&t=2007-01-01T01%3A14%3A32Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:32Z&BBOX=-78.67259999999999,-37.999673,-78.4726,-37.799673&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 3 - (-78.572600, -37.899673, 2007-01-01T01-14-32Z).png","Images2\Anomaly 3 - (-78.572600, -37.899673, 2007-01-01T01-14-32Z).png"
2007-01-01T01:14:32Z,-37.932716,-78.57883000000002,-38.032716,-37.832716,-78.67883000000002,-78.47883000000003,"https://worldview.earthdata.nasa.gov/?v=-38.032716,-78.67883000000002,-37.832716,-78.47883000000003&t=2007-01-01T01%3A14%3A32Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:32Z&BBOX=-78.67883000000002,-38.032716,-78.47883000000003,-37.832716&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 4 - (-78.578830, -37.932716, 2007-01-01T01-14-32Z).png","Images2\Anomaly 4 - (-78.578830, -37.932716, 2007-01-01T01-14-32Z).png"
2007-01-01T01:14:33Z,-37.96579000000001,-78.58505,-38.065790000000014,-37.86579000000001,-78.68504999999999,-78.48505,"https://worldview.earthdata.nasa.gov/?v=-38.065790000000014,-78.68504999999999,-37.86579000000001,-78.48505&t=2007-01-01T01%3A14%3A33Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:33Z&BBOX=-78.68504999999999,-38.065790000000014,-78.48505,-37.86579000000001&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 5 - (-78.585050, -37.965790, 2007-01-01T01-14-33Z).png","Images2\Anomaly 5 - (-78.585050, -37.965790, 2007-01-01T01-14-33Z).png"
2007-01-01T01:14:33Z,-37.9989,-78.59128,-38.0989,-37.8989,-78.69127999999999,-78.49128,"https://worldview.earthdata.nasa.gov/?v=-38.0989,-78.69127999999999,-37.8989,-78.49128&t=2007-01-01T01%3A14%3A33Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:33Z&BBOX=-78.69127999999999,-38.0989,-78.49128,-37.8989&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 6 - (-78.591280, -37.998900, 2007-01-01T01-14-33Z).png","Images2\Anomaly 6 - (-78.591280, -37.998900, 2007-01-01T01-14-33Z).png"
2007-01-01T01:14:33Z,-38.032047,-78.59749000000002,-38.132047,-37.932047,-78.69749000000002,-78.49749000000003,"https://worldview.earthdata.nasa.gov/?v=-38.132047,-78.69749000000002,-37.932047,-78.49749000000003&t=2007-01-01T01%3A14%3A33Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:33Z&BBOX=-78.69749000000002,-38.132047,-78.49749000000003,-37.932047&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 7 - (-78.597490, -38.032047, 2007-01-01T01-14-33Z).png","Images2\Anomaly 7 - (-78.597490, -38.032047, 2007-01-01T01-14-33Z).png"
2007-01-01T01:14:33Z,-38.06523,-78.60370999999998,-38.16523,-37.96523,-78.70370999999997,-78.50370999999998,"https://worldview.earthdata.nasa.gov/?v=-38.16523,-78.70370999999997,-37.96523,-78.50370999999998&t=2007-01-01T01%3A14%3A33Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:33Z&BBOX=-78.70370999999997,-38.16523,-78.50370999999998,-37.96523&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 8 - (-78.603710, -38.065230, 2007-01-01T01-14-33Z).png","Images2\Anomaly 8 - (-78.603710, -38.065230, 2007-01-01T01-14-33Z).png"
2007-01-01T01:14:33Z,-38.098503,-78.60991999999997,-38.198503,-37.998503,-78.70991999999997,-78.50991999999998,"https://worldview.earthdata.nasa.gov/?v=-38.198503,-78.70991999999997,-37.998503,-78.50991999999998&t=2007-01-01T01%3A14%3A33Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:33Z&BBOX=-78.70991999999997,-38.198503,-78.50991999999998,-37.998503&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 9 - (-78.609920, -38.098503, 2007-01-01T01-14-33Z).png","Images2\Anomaly 9 - (-78.609920, -38.098503, 2007-01-01T01-14-33Z).png"
2007-01-01T01:14:33Z,-38.131924,-78.61613,-38.231924,-38.031924,-78.71612999999999,-78.51613,"https://worldview.earthdata.nasa.gov/?v=-38.231924,-78.71612999999999,-38.031924,-78.51613&t=2007-01-01T01%3A14%3A33Z&l=Coastlines,MODIS_Aqua_CorrectedReflectance_TrueColor","https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-01-01T01:14:33Z&BBOX=-78.71612999999999,-38.231924,-78.51613,-38.031924&CRS=EPSG:4326&LAYERS=MODIS_Aqua_CorrectedReflectance_TrueColor,Coastlines&WRAP=day,x&FORMAT=image/png&WIDTH=800&HEIGHT=800","Anomaly 10 - (-78.616130, -38.131924, 2007-01-01T01-14-33Z).png","Images2\Anomaly 10 - (-78.616130, -38.131924, 2007-01-01T01-14-33Z).png"
